Date,Close
12/11/2018,6076.59
12/12/2018,6115.58
12/13/2018,6177.72
12/14/2018,6169.84
12/17/2018,6089.31
12/18/2018,6081.87
12/19/2018,6176.09
12/20/2018,6147.88
12/21/2018,6163.6
12/26/2018,6127.85
12/27/2018,6190.64
12/28/2018,6194.5
1/2/2019,6181.17
1/3/2019,6221.01
1/4/2019,6274.54
1/7/2019,6287.22
1/8/2019,6262.85
1/9/2019,6272.24
1/10/2019,6328.71
1/11/2019,6361.46
1/14/2019,6336.12
1/15/2019,6408.78
1/16/2019,6413.36
1/17/2019,6423.78
1/18/2019,6448.16
1/21/2019,6450.83
1/22/2019,6468.56
1/23/2019,6451.17
1/24/2019,6466.65
1/25/2019,6482.84
1/28/2019,6458.71
1/29/2019,6436.48
1/30/2019,6464.19
1/31/2019,6532.97
2/1/2019,6538.64
2/4/2019,6481.45
2/6/2019,6547.88
2/7/2019,6536.46
2/8/2019,6521.66
2/11/2019,6495
2/12/2019,6426.33
2/13/2019,6419.12
2/14/2019,6420.02
2/15/2019,6389.08
2/18/2019,6497.81
2/19/2019,6494.67
2/20/2019,6512.78
2/21/2019,6537.77
2/22/2019,6501.38
2/25/2019,6525.36
2/26/2019,6540.95
2/27/2019,6525.68
2/28/2019,6443.35
3/1/2019,6499.88
3/4/2019,6488.42
3/5/2019,6441.28
3/6/2019,6457.96
3/8/2019,6383.07
3/11/2019,6366.43
3/12/2019,6353.77
3/13/2019,6377.58
3/14/2019,6413.27
3/15/2019,6461.18
3/18/2019,6509.45
3/19/2019,6480.28
3/20/2019,6482.71
3/21/2019,6501.78
3/22/2019,6525.27
3/25/2019,6411.25
3/26/2019,6470
3/27/2019,6444.74
3/28/2019,6480.79
3/29/2019,6468.75
4/1/2019,6452.61
4/2/2019,6476.07
4/4/2019,6494.63
4/5/2019,6474.02
4/8/2019,6425.73
4/9/2019,6484.35
4/10/2019,6478.33
4/11/2019,6410.17
4/12/2019,6405.87
4/15/2019,6435.15
4/16/2019,6481.54
4/18/2019,6507.22
4/22/2019,6414.74
4/23/2019,6462.82
4/24/2019,6447.88
4/25/2019,6372.79
4/26/2019,6401.08
4/29/2019,6425.9
4/30/2019,6455.35
5/2/2019,6374.42
5/3/2019,6319.46
5/6/2019,6256.35
5/7/2019,6297.32
5/8/2019,6270.2
5/9/2019,6198.8
5/10/2019,6209.12
5/13/2019,6135.4
5/14/2019,6071.2
5/15/2019,5980.88
5/16/2019,5895.74
5/17/2019,5826.87
5/20/2019,5907.12
5/21/2019,5951.37
5/22/2019,5939.64
5/23/2019,6032.7
5/24/2019,6057.35
5/27/2019,6098.97
5/28/2019,6033.14
5/29/2019,6104.11
5/31/2019,6209.12
6/10/2019,6289.61
6/11/2019,6305.99
6/12/2019,6276.18
6/13/2019,6273.08
6/14/2019,6250.27
6/17/2019,6190.52
6/18/2019,6257.33
6/19/2019,6339.26
6/20/2019,6335.7
6/21/2019,6315.44
6/24/2019,6288.46
6/25/2019,6320.44
6/26/2019,6310.49
6/27/2019,6352.71
6/28/2019,6358.63
7/1/2019,6379.69
7/2/2019,6384.9
7/3/2019,6362.62
7/4/2019,6375.97
7/5/2019,6373.48
7/8/2019,6351.83
7/9/2019,6388.32
7/10/2019,6410.68
7/11/2019,6417.07
7/12/2019,6373.35
7/15/2019,6418.23
7/16/2019,6401.88
7/17/2019,6394.61
7/18/2019,6403.29
7/19/2019,6456.54
7/22/2019,6433.55
7/23/2019,6403.81
7/24/2019,6384.99
7/25/2019,6401.37
7/26/2019,6325.24
7/29/2019,6299.04
7/30/2019,6377
7/31/2019,6390.5
8/1/2019,6381.54
8/2/2019,6340.18
8/5/2019,6175.7
8/6/2019,6119.47
8/7/2019,6204.19
8/8/2019,6274.67
8/9/2019,6282.13
8/12/2019,6250.6
8/13/2019,6210.96
8/14/2019,6267.33
8/15/2019,6257.59
8/16/2019,6286.66
8/19/2019,6296.71
8/20/2019,6295.74
8/21/2019,6252.97
8/22/2019,6239.25
8/23/2019,6255.6
8/26/2019,6214.51
8/27/2019,6278.17
8/28/2019,6281.65
8/29/2019,6289.12
8/30/2019,6328.47
9/2/2019,6290.55
9/3/2019,6261.59
9/4/2019,6269.66
9/5/2019,6306.8
9/6/2019,6308.95
